Date,Sentiment,Sentiment_coverage,Sentiment_Trends,Sentiment_Wiki,trend_generative_ai,trend_machine_learning,trend_chatgpt,large_language_model,trend_artificial_intelligence,wiki_Artificial_intelligence,wiki_ChatGPT,wiki_Large_language_model,wiki_OpenAI,wiki_Machine_learning,Sentiment_Consumer,Sentiment_EPU,Sentiment_VIX,Sentiment_Trends_z,Sentiment_Wiki_z,Sentiment_Consumer_z,Sentiment_EPU_z,Sentiment_VIX_z
1989-02-28,0.02666121567625035,macro,,,,,,,,,,,,,95.4,84.84484,,,,0.7922871896006596,-0.7389647582481589,
1989-03-31,0.11604041282220298,macro,,,,,,,,,,,,,94.3,97.21567,,,,0.7138988023256203,-0.48181797668121434,
1989-04-30,0.13732785716066448,macro,,,,,,,,,,,,,91.5,108.86306,,,,0.5143647256255222,-0.23970901130419317,
1989-05-31,-0.10992439711210888,macro,,,,,,,,,,,,,90.7,87.81604,,,,0.45735498942549424,-0.677203783649712,
1989-06-30,-0.04048828691043613,macro,,,,,,,,,,,,,90.6,94.83974,,,,0.45022877240049014,-0.5312053462213624,
1989-07-31,-0.09734179185876612,macro,,,,,,,,,,,,,92.0,84.56992,,,,0.5499958107505397,-0.744679394468072,
1989-08-31,-0.06551158374887611,macro,,,,,,,,,,,,,89.6,95.86038,,,,0.37896660215045497,-0.5099897696482072,
1989-09-30,0.10403572711707954,macro,,,,,,,,,,,,,95.8,90.9182,,,,0.820792057700673,-0.6127206034665139,
1989-10-31,0.04338839593543298,macro,,,,,,,,,,,,,93.9,91.59669,,,,0.6853939342256069,-0.598617142354741,
1989-11-30,0.10541115664862474,macro,,,,,,,,,,,,,90.9,107.84913,,,,0.47160742347550144,-0.26078511017825196,
1989-12-31,0.08332323546382867,macro,,,,,,,,,,,,,90.5,107.09523,,,,0.443102555375487,-0.27645608444782965,
1990-01-31,0.2449992066334948,macro,,,,,,,,,,,,,93.0,100.35918,23.347272727272728,,,0.6212579810005748,-0.4164752729722875,0.530214911872197
1990-02-28,0.08341528716792884,macro,,,,,,,,,,,,,89.5,89.59095,23.262631578947367,,,0.37184038512545187,-0.6403095417863135,0.5187150181646482
