date,Infra,Infra_Util_CapUtil_idx,Infra_Util_CapUtil_raw,Infra_Macro
1992-12-31,109.65331380622547,109.65331380622547,91.3445,109.65331380622547
1993-01-31,106.19377453393035,106.19377453393035,88.4626,106.19377453393035
1993-02-28,108.5119383455578,108.5119383455578,90.3937,108.5119383455578
1993-03-31,108.61973758448076,108.61973758448076,90.4835,108.61973758448076
1993-04-30,107.90739829297866,107.90739829297866,89.8901,107.90739829297866
1993-05-31,106.25547699362568,106.25547699362568,88.514,106.25547699362568
1993-06-30,107.45267277288934,107.45267277288934,89.5113,107.45267277288934
1993-07-31,109.08442673133021,109.08442673133021,90.8706,109.08442673133021
1993-08-31,109.68848660912573,109.68848660912573,91.3738,109.68848660912573
1993-09-30,107.65638692484065,107.65638692484065,89.681,107.65638692484065
1993-10-31,106.14191565729925,106.14191565729925,88.4194,106.14191565729925
1993-11-30,107.10382579258851,107.10382579258851,89.2207,107.10382579258851
1993-12-31,107.72913340455928,107.72913340455928,89.7416,107.72913340455928
1994-01-31,109.86663145384921,109.86663145384921,91.5222,109.86663145384921
1994-02-28,108.33079240843668,108.33079240843668,90.2428,108.33079240843668
1994-03-31,107.32818746023554,107.32818746023554,89.4076,107.32818746023554
1994-04-30,107.32878767871506,107.32878767871506,89.4081,107.32878767871506
1994-05-31,106.05680467690239,106.05680467690239,88.3485,106.05680467690239
1994-06-30,110.36049121880365,110.36049121880365,91.9336,110.36049121880365
1994-07-31,107.97678354921192,107.97678354921192,89.9479,107.97678354921192
1994-08-31,106.65174123380912,106.65174123380912,88.8441,106.65174123380912
1994-09-30,106.81464052915261,106.81464052915261,88.9798,106.81464052915261
1994-10-31,107.46911875922838,107.46911875922838,89.525,107.46911875922838
1994-11-30,107.39901324081967,107.39901324081967,89.4666,107.39901324081967
1994-12-31,106.9226798554674,106.9226798554674,89.0698,106.9226798554674
1995-01-31,107.18701607385088,107.18701607385088,89.29,107.18701607385088
1995-02-28,107.57895874098173,107.57895874098173,89.6165,107.57895874098173
1995-03-31,107.66022832310962,107.66022832310962,89.6842,107.66022832310962
1995-04-30,108.41614347622534,108.41614347622534,90.3139,108.41614347622534
1995-05-31,109.20399025245192,109.20399025245192,90.9702,109.20399025245192
1995-06-30,108.89343721114486,108.89343721114486,90.7115,108.89343721114486
1995-07-31,109.64779179621382,109.64779179621382,91.3399,109.64779179621382
1995-08-31,114.95192249978992,114.95192249978992,95.7584,114.95192249978992
1995-09-30,109.18982509633506,109.18982509633506,90.9584,109.18982509633506
1995-10-31,110.02893053071318,110.02893053071318,91.6574,110.02893053071318
1995-11-30,109.47192778171255,109.47192778171255,91.1934,109.47192778171255
1995-12-31,110.04669699770717,110.04669699770717,91.6722,110.04669699770717
1996-01-31,111.28542789575407,111.28542789575407,92.7041,111.28542789575407
1996-02-29,112.48370406828086,112.48370406828086,93.7023,112.48370406828086
1996-03-31,112.07075375436659,112.07075375436659,93.3583,112.07075375436659
1996-04-30,110.94762493547651,110.94762493547651,92.4227,110.94762493547651
1996-05-31,112.4827437187136,112.4827437187136,93.7015,112.4827437187136
1996-06-30,111.33968764630326,111.33968764630326,92.7493,111.33968764630326
1996-07-31,107.56179249246726,107.56179249246726,89.6022,107.56179249246726
1996-08-31,108.86006506368318,108.86006506368318,90.6837,108.86006506368318
1996-09-30,107.85878059613698,107.85878059613698,89.8496,107.85878059613698
1996-10-31,108.87819166176489,108.87819166176489,90.6988,108.87819166176489
1996-11-30,110.2983085843247,110.2983085843247,91.8818,110.2983085843247
1996-12-31,109.46448507256643,109.46448507256643,91.1872,109.46448507256643
1997-01-31,110.89348522862323,110.89348522862323,92.3776,110.89348522862323
1997-02-28,109.57300457366483,109.57300457366483,91.2776,109.57300457366483
1997-03-31,107.92384427931768,107.92384427931768,89.9038,107.92384427931768
1997-04-30,109.7465877579439,109.7465877579439,91.4222,109.7465877579439
1997-05-31,106.36963854843162,106.36963854843162,88.6091,106.36963854843162
1997-06-30,107.19301825864616,107.19301825864616,89.295,107.19301825864616
